batch_id,batch_priority,queue_priority,research_priority,scenario_id,primary_scenario,fingerprint,candidate,scenario_observations,planned_oos_windows,target_oos_windows,oos_gap_to_target,eligibility_status,queue_action,batch_action,batch_reason,batch_rank,execution_status,execution_reason,candidate_evidence_observations,scenario_matched_observations,historical_observations,train_observations,holdout_observations,train_start,train_end,holdout_start,holdout_end,train_average_spread,train_median_spread,train_positive_day_pct,oos_average_spread,oos_median_spread,oos_positive_day_pct,oos_worst_day,oos_best_day,research_status,oos_result
BATCH_001,P0,P0,HIGH,UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_BASELINE_FAILURE,28,5,10,5,EVIDENCE_PRESENT_EARLY,CONTINUE_OOS,CONTINUE_OOS_BATCH,UNEXPLORED_20 has existing OOS evidence; group 3 continuation relationship(s) to efficiently reach the current OOS milestone.,1,EXECUTED,Authorized batch relationship executed through the existing candidate-specific OOS path; scenario/fingerprint restriction was applied before chronological holdout evaluation.,100,10,10,10.0,0,2026-03-10,2026-07-23,,,0.7906110000000002,0.6845050000000001,70.0,,,,,,INSUFFICIENT_HOLDOUT_HISTORY,NOT_READY
BATCH_001,P0,P0,HIGH,UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_CONDITIONAL_SCORE,28,5,10,5,EVIDENCE_PRESENT_EARLY,CONTINUE_OOS,CONTINUE_OOS_BATCH,UNEXPLORED_20 has existing OOS evidence; group 3 continuation relationship(s) to efficiently reach the current OOS milestone.,1,EXECUTED,Authorized batch relationship executed through the existing candidate-specific OOS path; scenario/fingerprint restriction was applied before chronological holdout evaluation.,100,10,10,10.0,0,2026-03-10,2026-07-23,,,-0.33844899999999994,-0.3531950000000002,50.0,,,,,,INSUFFICIENT_HOLDOUT_HISTORY,NOT_READY
BATCH_001,P0,P0,HIGH,UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_FACTOR_AGREEMENT,28,5,10,5,EVIDENCE_PRESENT_EARLY,CONTINUE_OOS,CONTINUE_OOS_BATCH,UNEXPLORED_20 has existing OOS evidence; group 3 continuation relationship(s) to efficiently reach the current OOS milestone.,1,EXECUTED,Authorized batch relationship executed through the existing candidate-specific OOS path; scenario/fingerprint restriction was applied before chronological holdout evaluation.,100,10,10,10.0,0,2026-03-10,2026-07-23,,,-1.0049255555555556,-1.0553944444444445,20.0,,,,,,INSUFFICIENT_HOLDOUT_HISTORY,NOT_READY
BATCH_002,P0,P0,HIGH,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_BASELINE_FAILURE,10,5,10,5,EVIDENCE_PRESENT_EARLY,CONTINUE_OOS,CONTINUE_OOS_BATCH,UNEXPLORED_33 has existing OOS evidence; group 3 continuation relationship(s) to efficiently reach the current OOS milestone.,2,EXECUTED,Authorized batch relationship executed through the existing candidate-specific OOS path; scenario/fingerprint restriction was applied before chronological holdout evaluation.,100,10,10,10.0,0,2026-03-13,2026-04-24,,,-1.0849739999999997,-0.9100649999999999,40.0,,,,,,INSUFFICIENT_HOLDOUT_HISTORY,NOT_READY
BATCH_002,P0,P0,HIGH,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_CONDITIONAL_SCORE,10,5,10,5,EVIDENCE_PRESENT_EARLY,CONTINUE_OOS,CONTINUE_OOS_BATCH,UNEXPLORED_33 has existing OOS evidence; group 3 continuation relationship(s) to efficiently reach the current OOS milestone.,2,EXECUTED,Authorized batch relationship executed through the existing candidate-specific OOS path; scenario/fingerprint restriction was applied before chronological holdout evaluation.,100,10,10,10.0,0,2026-03-13,2026-04-24,,,-1.0378999999999998,-0.5167400000000001,50.0,,,,,,INSUFFICIENT_HOLDOUT_HISTORY,NOT_READY
BATCH_002,P0,P0,HIGH,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_FACTOR_AGREEMENT,10,5,10,5,EVIDENCE_PRESENT_EARLY,CONTINUE_OOS,CONTINUE_OOS_BATCH,UNEXPLORED_33 has existing OOS evidence; group 3 continuation relationship(s) to efficiently reach the current OOS milestone.,2,EXECUTED,Authorized batch relationship executed through the existing candidate-specific OOS path; scenario/fingerprint restriction was applied before chronological holdout evaluation.,100,10,10,10.0,0,2026-03-13,2026-04-24,,,-0.8431477777777779,-1.2033777777777779,40.0,,,,,,INSUFFICIENT_HOLDOUT_HISTORY,NOT_READY
BATCH_003,P1,P1,HIGH,UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_B_BASELINE_FAILURE,25,0,10,10,RESEARCHABLE_NO_EVIDENCE,START_OOS_RESEARCH,START_OOS_BATCH,UNEXPLORED_15 is a mature research scenario with no existing OOS evidence for 6 relationship(s).,3,EXECUTED,Authorized batch relationship executed through the existing candidate-specific OOS path; scenario/fingerprint restriction was applied before chronological holdout evaluation.,100,6,6,6.0,0,2026-05-08,2026-07-03,,,0.6251099999999999,0.24366000000000004,66.66666666666666,,,,,,INSUFFICIENT_HOLDOUT_HISTORY,NOT_READY
BATCH_003,P1,P1,HIGH,UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_B_CONDITIONAL_SCORE,25,0,10,10,RESEARCHABLE_NO_EVIDENCE,START_OOS_RESEARCH,START_OOS_BATCH,UNEXPLORED_15 is a mature research scenario with no existing OOS evidence for 6 relationship(s).,3,EXECUTED,Authorized batch relationship executed through the existing candidate-specific OOS path; scenario/fingerprint restriction was applied before chronological holdout evaluation.,100,6,6,6.0,0,2026-05-08,2026-07-03,,,0.47745333333333323,0.0610399999999999,83.33333333333334,,,,,,INSUFFICIENT_HOLDOUT_HISTORY,NOT_READY
BATCH_003,P1,P1,HIGH,UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_B_FACTOR_AGREEMENT,25,0,10,10,RESEARCHABLE_NO_EVIDENCE,START_OOS_RESEARCH,START_OOS_BATCH,UNEXPLORED_15 is a mature research scenario with no existing OOS evidence for 6 relationship(s).,3,EXECUTED,Authorized batch relationship executed through the existing candidate-specific OOS path; scenario/fingerprint restriction was applied before chronological holdout evaluation.,100,6,6,6.0,0,2026-05-08,2026-07-03,,,0.46054629629629645,0.4465555555555556,50.0,,,,,,INSUFFICIENT_HOLDOUT_HISTORY,NOT_READY
BATCH_003,P1,P1,HIGH,UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_C_FACTOR_INTERACTION,25,0,10,10,RESEARCHABLE_NO_EVIDENCE,START_OOS_RESEARCH,START_OOS_BATCH,UNEXPLORED_15 is a mature research scenario with no existing OOS evidence for 6 relationship(s).,3,INSUFFICIENT_HOLDOUT_HISTORY,Insufficient chronological history for the existing Track-C walk-forward geometry.,0,24,0,,0,,,,,,,,,,,,,INSUFFICIENT_HOLDOUT_HISTORY,NOT_READY
